*******************************************************************************
Ephemeris / WWW_USER Thu Nov  5 02:30:22 2015 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: 65803 Didymos (1996 GT)         {source: JPL#120}
Center body name: Sun (10)                        {source: DE-0431LE-0431}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Oct-08 00:00:00.0000 CT 
Stop  time      : A.D. 2020-Oct-11 00:00:00.0000 CT 
Step-size       : 1 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center pole/equ : IAU_SUN                         {East-longitude +}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Small perturbers: Yes                             {source: SB431-BIG16}
Output units    : KM-S                                                         
Output format   : 02
Output type     : GEOMETRIC cartesian states
Coordinate systm: Body Mean Equator and Node of Date                           
*******************************************************************************
Initial FK5/J2000.0 heliocentric ecliptic osculating elements (au, days, deg.):
  EPOCH=  2454131.5 ! 2007-Jan-31.00 (TDB)         Residual RMS= .3525         
   EC= .3839121996067163   QR= 1.013230564896817   TP= 2454482.5145586831      
   OM= 73.25567294445189   W=  319.1987828564368   IN= 3.408288701970675       
Asteroid physical parameters (km, seconds, rotational period in hours):        
   GM= n.a.                RAD= n.a.               ROTPER= 2.2593              
   H= 18.                  G= .150                 B-V= n.a.                   
                           ALBEDO= n.a.            STYP= Xk                    
*******************************************************************************
JDCT ,   , X, Y, Z, VX, VY, VZ,
*******************************************************************************
$$SOE
2459130.515277778, A.D. 2020-Oct-08 00:22:00.0000,  1.068628185575625E+08,  1.152458017913817E+08,  2.952268255621515E+06, -2.132999289061247E+01,  2.626354272661696E+01, -2.075621767798054E+00,
2459130.515972222, A.D. 2020-Oct-08 00:23:00.0000,  1.068615387514160E+08,  1.152473775968587E+08,  2.952143718133785E+06, -2.133021196357150E+01,  2.626330647054059E+01, -2.075627820208215E+00,
2459130.516666667, A.D. 2020-Oct-08 00:24:00.0000,  1.068602589321269E+08,  1.152489533881581E+08,  2.952019180283092E+06, -2.133043103272365E+01,  2.626307021250990E+01, -2.075633872330386E+00,
2459130.517361111, A.D. 2020-Oct-08 00:25:00.0000,  1.068589790996922E+08,  1.152505291652841E+08,  2.951894642069109E+06, -2.133065009806947E+01,  2.626283395252434E+01, -2.075639924164584E+00,
2459130.518055555, A.D. 2020-Oct-08 00:26:00.0000,  1.068576992541153E+08,  1.152521049282323E+08,  2.951770103492200E+06, -2.133086915960837E+01,  2.626259769058462E+01, -2.075645975710792E+00,
2459130.518750000, A.D. 2020-Oct-08 00:27:00.0000,  1.068564193953931E+08,  1.152536806770069E+08,  2.951645564552039E+06, -2.133108821734091E+01,  2.626236142669019E+01, -2.075652026969030E+00,
2459130.519444444, A.D. 2020-Oct-08 00:28:00.0000,  1.068551395235293E+08,  1.152552564116035E+08,  2.951521025248975E+06, -2.133130727126648E+01,  2.626212516084177E+01, -2.075658077939282E+00,
2459130.520138889, A.D. 2020-Oct-08 00:29:00.0000,  1.068538596385207E+08,  1.152568321320261E+08,  2.951396485582687E+06, -2.133152632138567E+01,  2.626188889303882E+01, -2.075664128621570E+00,
2459130.520833333, A.D. 2020-Oct-08 00:30:00.0000,  1.068525797403708E+08,  1.152584078382705E+08,  2.951271945553541E+06, -2.133174536769787E+01,  2.626165262328204E+01, -2.075670179015875E+00,
2459130.521527778, A.D. 2020-Oct-08 00:31:00.0000,  1.068512998290767E+08,  1.152599835303408E+08,  2.951147405161209E+06, -2.133196441020362E+01,  2.626141635157089E+01, -2.075676229122216E+00,
2459130.522222222, A.D. 2020-Oct-08 00:32:00.0000,  1.068500199046417E+08,  1.152615592082326E+08,  2.951022864406057E+06, -2.133218344890237E+01,  2.626118007790609E+01, -2.075682278940578E+00,
2459130.522916667, A.D. 2020-Oct-08 00:33:00.0000,  1.068487399670630E+08,  1.152631348719501E+08,  2.950898323287748E+06, -2.133240248379465E+01,  2.626094380228709E+01, -2.075688328470980E+00,
2459130.523611111, A.D. 2020-Oct-08 00:34:00.0000,  1.068474600163438E+08,  1.152647105214888E+08,  2.950773781806648E+06, -2.133262151487987E+01,  2.626070752471460E+01, -2.075694377713404E+00,
2459130.524305556, A.D. 2020-Oct-08 00:35:00.0000,  1.068461800524813E+08,  1.152662861568529E+08,  2.950649239962451E+06, -2.133284054215858E+01,  2.626047124518808E+01, -2.075700426667872E+00,
2459130.525000000, A.D. 2020-Oct-08 00:36:00.0000,  1.068449000754789E+08,  1.152678617780382E+08,  2.950524697755478E+06, -2.133305956563020E+01,  2.626023496370823E+01, -2.075706475334364E+00,
2459130.525694444, A.D. 2020-Oct-08 00:37:00.0000,  1.068436200853335E+08,  1.152694373850485E+08,  2.950400155185409E+06, -2.133327858529530E+01,  2.625999868027452E+01, -2.075712523712903E+00,
2459130.526388889, A.D. 2020-Oct-08 00:38:00.0000,  1.068423400820487E+08,  1.152710129778797E+08,  2.950275612252623E+06, -2.133349760115327E+01,  2.625976239488767E+01, -2.075718571803474E+00,
2459130.527083333, A.D. 2020-Oct-08 00:39:00.0000,  1.068410600656215E+08,  1.152725885565358E+08,  2.950151068956807E+06, -2.133371661320466E+01,  2.625952610754711E+01, -2.075724619606092E+00,
2459130.527777778, A.D. 2020-Oct-08 00:40:00.0000,  1.068397800360553E+08,  1.152741641210125E+08,  2.950026525298275E+06, -2.133393562144890E+01,  2.625928981825356E+01, -2.075730667120744E+00,
2459130.528472222, A.D. 2020-Oct-08 00:41:00.0000,  1.068384999933470E+08,  1.152757396713139E+08,  2.949901981276751E+06, -2.133415462588653E+01,  2.625905352700650E+01, -2.075736714347444E+00,
2459130.529166667, A.D. 2020-Oct-08 00:42:00.0000,  1.068372199375003E+08,  1.152773152074357E+08,  2.949777436892569E+06, -2.133437362651697E+01,  2.625881723380661E+01, -2.075742761286183E+00,
2459130.529861111, A.D. 2020-Oct-08 00:43:00.0000,  1.068359398685119E+08,  1.152788907293819E+08,  2.949652892145418E+06, -2.133459262334078E+01,  2.625858093865337E+01, -2.075748807936975E+00,
2459130.530555556, A.D. 2020-Oct-08 00:44:00.0000,  1.068346597863856E+08,  1.152804662371482E+08,  2.949528347035624E+06, -2.133481161635735E+01,  2.625834464154747E+01, -2.075754854299804E+00,
2459130.531250000, A.D. 2020-Oct-08 00:45:00.0000,  1.068333796911181E+08,  1.152820417307388E+08,  2.949403801562920E+06, -2.133503060556726E+01,  2.625810834248838E+01, -2.075760900374693E+00,
2459130.531944444, A.D. 2020-Oct-08 00:46:00.0000,  1.068320995827114E+08,  1.152836172101513E+08,  2.949279255727425E+06, -2.133524959097018E+01,  2.625787204147650E+01, -2.075766946161629E+00,
2459130.532638889, A.D. 2020-Oct-08 00:47:00.0000,  1.068308194611673E+08,  1.152851926753837E+08,  2.949154709529370E+06, -2.133546857256583E+01,  2.625763573851222E+01, -2.075772991660612E+00,
